"Game"	"Platform"	"Score"	"Genre"
"Rocksmith 2014"	"PS3"	9	"Music"
"Rocksmith 2014 (No Cable Included -- For Rocksmith Owners)"	"X360"	9	"Music"
"Rocksmith 2014"	"PC"	9	"Music"
"Rocksmith 2014"	"Macintosh"	9	"Music"
"Rocksmith 2014 (No Cable Included -- For Rocksmith Owners)"	"PS3"	9	"Music"
"Rocksmith 2014"	"X360"	9	"Music"
"Borderlands 2: T.K. Baha's Bloody Harvest"	"X360"	7	"Shooter, RPG"
"LEGO Marvel Super Heroes"	"PS3"	9	"Action"
"LEGO Marvel Super Heroes"	"XOne"	9	"Action"
"LEGO Marvel Super Heroes "	"PC"	9	"Action"
"LEGO Marvel Super Heroes"	"PS4"	9	"Action"
"LEGO Marvel Super Heroes"	"X360"	9	"Action"
"LEGO Marvel Super Heroes"	"WiiU"	9	"Action"
"Deus Ex: Human Revolution -- Director's Cut"	"WiiU"	8.3	"Shooter"
"Rune Factory 4"	"3DS"	8	"RPG"
"The Stanley Parable"	"PC"	8.8	"Adventure"
"The Stanley Parable"	"Macintosh"	8.8	"Adventure"
"Sonic: Lost World"	"WiiU"	5.8	"Platformer"
"Glare"	"PC"	7.1	"Platformer, Action"
"Knock-Knock"	"PC"	6.2	"Adventure"
"140"	"PC"	8	"Platformer"
"Soundodger"	"PC"	7.3	"Music, Action"
"Skylanders Swap Force"	"X360"	8.2	"Action, Adventure"
"Skylanders Swap Force"	"PS3"	8.2	"Action, Adventure"
"Skylanders Swap Force"	"WiiU"	8.2	"Action, Adventure"
"Skylanders Swap Force"	"Wii"	8.2	"Action, Adventure"
"Skylanders Swap Force"	"3DS"	7.1	"Adventure"
"Legends of Aethereus"	"PC"	4.7	"Action, RPG"
"Marvel Puzzle Quest: Dark Reign"	"iPhone"	9.1	"Puzzle, RPG"
"Just Dance 2014"	"WiiU"	7.9	"Music"
"Just Dance 2014"	"X360"	7.5	"Music"
"Just Dance 2014"	"Wii"	7.7	"Music"
"Just Dance 2014"	"PS3"	7.7	"Music"
"The Wolf Among Us: Episode 1 -- Faith"	"X360"	9	"Adventure"
"The Wolf Among Us: Episode 1 -- Faith "	"iPad"	9	"Adventure"
"The Wolf Among Us: Episode 1 -- Faith"	"PC"	9	"Adventure"
"The Wolf Among Us: Episode 1 -- Faith"	"PS3"	9	"Adventure"
"Dead Man's Draw"	"iPhone"	6.2	"Card"
"Dragon's Prophet"	"PC"	5.1	"RPG"
"Beyond: Two Souls"	"PS3"	6	"Adventure"
"Lone Survivor (Director’s Cut)"	"PSV"	8.6	"Adventure"
"The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies"	"Linux"	5.5	"Adventure"
"The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies"	"PC"	5.5	"Adventure"
"The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies"	"X360"	5.5	"Adventure"
"The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies"	"Macintosh"	5.5	"Adventure"
"The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies"	"PS3"	5.5	"Adventure"
"Pokemon Y"	"3DS"	9	"RPG"
"Pokemon X"	"3DS"	9	"RPG"
"F1 2013"	"PS3"	8	"Racing"
"F1 2013"	"X360"	8	"Racing"
"F1 2013"	"PC"	8	"Racing"
"Alien Rage"	"PC"	4.4	"Shooter"
"Dragon Fantasy Book II"	"PS3"	3	"RPG"
"Dragon Fantasy Book II"	"PSV"	3	"RPG"
"Shadow Warrior"	"PC"	8.6	"Shooter"
"Guardians of Middle-earth"	"PC"	7.9	"Battle"
"Takedown: Red Sabre"	"PC"	4	"Shooter"
"Armored Core: Verdict Day"	"PS3"	7.6	"Simulation"
"Rain"	"PS3"	7	"Adventure"
"Disgaea D2: A Brighter Darkness "	"PS3"	9.1	"Action"
"MechWarrior Online"	"PC"	7.3	"Action, Simulation"
"Carnivores: Dinosaur Hunter HD"	"PS3"	4	"Shooter"
"Warhammer Quest"	"iPhone"	7.5	"Action, RPG"
"NBA 2K14"	"X360"	9.3	"Sports"
"NBA 2K14"	"PS3"	9.3	"Sports"
"Scribblenauts Unmasked: A DC Comics Adventure"	"PC"	9.1	"Puzzle, Action"
"Scribblenauts Unmasked: A DC Comics Adventure"	"3DS"	9.1	"Puzzle, Action"
"Scribblenauts Unmasked: A DC Comics Adventure"	"WiiU"	9.1	"Puzzle, Action"
"Etrian Odyssey Untold: The Millennium Girl"	"3DS"	8.5	"RPG"
"FIFA 14"	"PS3"	9	"Sports"
"FIFA 14"	"PC"	9	"Sports"
"Narco Terror"	"PS3"	6.5	"Shooter"
"Narco Terror"	"PC"	6.5	"Shooter"
"ArmA III"	"PC"	7	"Shooter"
"Pro Evolution Soccer 2014"	"X360"	8.4	"Sports"
"Pro Evolution Soccer 2014"	"PS3"	8.4	"Sports"
